Timestamp,Accepted,Confirmed,Occupational status (check the most relevant in the context of the workshop),What organization(s) do you work for?,What department(s) do you work in?,"In three sentences or less, please describe your current field of work or research question.",How do you intend to make use of what you will learn in the workshop? What do you hope the workshop will help you with?,What operating system will you use on the laptop you bring to the workshop?,Waiver 1,Waiver 2,SWD?,What best describes how you currently manage your data/projects? (Check all that apply.),What best describes how you currently analyze your data? (Check all that apply.),What best describes how frequently you currently program?,What best describes the complexity of your programming? (Check all that apply.),"How familiar are you with Bash? (a.k.a. Unix, Command line, Shell) Please select the answer that best applies to you:","How would you solve this task: A directory contains 1000 text files. Create a list of all files that contain the word ""Drosophila"" and save the result to a file called results.txt.",How familiar are you with version control? Please select the answer that best applies to you:,"How would you solve this task: Given the URL for a project's version control repository, check out a working copy of that project, add a file called notes.txt, and commit the change.",How familiar are you with Python/Jupyter Notebook? Please select the answer that best applies to you:,How would you solve this task: A tab-delimited file has two columns showing for the last four decades the date for each day and the highest temperature on that day. Design a program to produce a graph for these data showing the average highest temperature for each month.,Please check which of the following you would be interested in a future workshop. (Your response will have no bearing on your chance to be accepted to the workshop.)
2/18/19 11:17,20190218,1,Graduate Student,University of Arizona,Electrical and Computer engineering,Error correction algorithms for data storage,Python and github skills,Windows,I agree,I agree,No,"My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data by looking at them and thinking about them, I am analyzing my data using Matlab, R and/or Python.",I program several times a year,"I write programs that are a page or two long for my own use., I have experience programming in Matlab",I am familiar with the command line but have never used it.,"I would create this list using ""Find in Files"" and ""copy and paste"".",I am not familiar with version control.,I could not complete this task.,I am familiar with the only term(s).,I could complete the task with documentation or search engine help.,High Performance Computing using the UA HPC system
2/6/19 11:52,20190218,1,Graduate Student,University of Arizona,Systems and Industrial Engineering,How to better customer service experience with the use of AI and cloud computing?,Information about how data analysis is done. The trends and more of about learning the language.,Windows,I agree,I agree,No,My data reside on my hard drive.,"I am analyzing my data by looking at them and thinking about them, I use other computational tools to do my analysis",I program once a week or more,I have never programmed,I am not familiar with the command line.,I could complete the task with documentation or search engine help.,I am not familiar with version control.,I could not complete this task.,"I am familiar with Python because I have used or am using it., I am familiar with Jupyter Notebook because I have used or am using it.",I could not complete this task.,"Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes)"
2/5/19 15:59,20190218,1,Faculty,University of Arizona,Medicine,lung research,bioinformatics applications,I am not sure,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on a thumb drive., My data reside on my hard drive.","I am analyzing my data with an office software, like Excel",I have never programmed,I have never programmed,I am not familiar with the command line.,I could not create this list.,I am not familiar with version control.,I could not complete this task.,I am not familiar with either.,I could not complete this task.,"Using virtual machines (to speed up analyses, among other purposes)"
2/6/19 11:25,20190218,1,Graduate Student,UA,Physiology,Clinical and translational cardiovascular research on heart failure/arrhythmias and outcomes.,Predictive modeling; appropriate applications of programs for data management/analysis/publication,Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside in research data cloud storage such as the CyVerse Data Store, Open Science Cloud (OSC), Data-Intensive Academic Grid (DIAG)","I am analyzing my data with an office software, like Excel, I use other computational tools to do my analysis",I have never programmed,I have never programmed,I am familiar only with the name command line or any of its synonyms.,I could complete the task with documentation or search engine help.,I am not familiar with version control.,I could complete the task with documentation or search help.,I am familiar with the only term(s).,I could complete the task with documentation or search engine help.,"Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
1/30/19 12:08,20190218,1,Graduate Student,The University of Arizona,Chemical and Environmental Engineering,"Membrane distillation, desalination and water purification",Data analysis of my experiments,Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on a thumb drive., My data reside on my hard drive.","I am analyzing my data with an office software, like Excel",I program less than once a year,I write scripts that are a few lines long to analyze data.,I am not familiar with the command line.,"I would create this list using ""Find in Files"" and ""copy and paste"".",I am not familiar with version control.,I could not complete this task.,I am not familiar with either.,I could complete the task with documentation or search engine help.,"Using a centralized data store (to store, access and/or share your data from anywhere)"
2/18/19 17:59,20190219,1,Undergraduate Student,University of Arizona,Ecology and Evolutionary Biology,I am currently applying for research positions involving bioinformatics. I am interested in asking the kinds of biological questions that can be explored using computational methods. I have an especial interest in genetics and comparative genomics.,"I am hoping I will learn data science skills during the workshop that will allow me to ask large-scale questions about genetics and biology, beyond those that can be answered through wet-lab experimentation.",Windows,I agree,I agree,No,My data reside on my hard drive.,"I am analyzing my data using Matlab, R and/or Python., I don't do data analysis, yet",I program once a week or more,"I write programs that are a page or two long for my own use., I have experience programming in Python",I am not familiar with the command line.,I could complete the task with documentation or search engine help.,I am familiar with version control but have never used it.,I could not complete this task.,I am familiar with Python because I have used or am using it.,I could complete the task with documentation or search engine help.,"Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/8/19 16:39,20190218,1,Graduate Student,University of Arizona,Sociology,Stratification among women in labor market,I expect to get more advanced knowledge in managing data and more fluency in Python.,Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes.",I use other computational tools to do my analysis,I have never programmed,I have never programmed,I am not familiar with the command line.,"I would create this list using ""Find in Files"" and ""copy and paste"".",I am not familiar with version control.,I could complete the task with documentation or search help.,I am not familiar with either.,I could not complete this task.,"Using a centralized data store (to store, access and/or share your data from anywhere)"
2/15/19 9:46,20190218,1,Postdoc,University of Arizona,Pharmacology,Understanding mechanisms that drive bone fracture pain in young adults and aging adults and the lack of fracture healing in the old.,Increase my confidence and efficiency working with large data sets. Also use a more computational approach to help decrease bias in data analysis,Mac,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on my hard drive., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox",I use other computational tools to do my analysis,I have never programmed,I have never programmed,I am not familiar with the command line.,I could complete the task with documentation or search engine help.,I am not familiar with version control.,I could complete the task with documentation or search help.,I am not familiar with either.,I could not complete this task.,"Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/12/19 13:10,20190218,1,Undergraduate Student,None,Mathematics,"None, currently trying to get into a research lab",Learning how to manage and manipulate data so it can be analyzed,Mac,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on my hard drive.","I am analyzing my data by looking at them and thinking about them, I am analyzing my data using tools such as calculator, ruler, drawing utensils, etc, I am analyzing my data with an office software, like Excel",I have never programmed,I have never programmed,I am not familiar with the command line.,I could complete the task with documentation or search engine help.,I am not familiar with version control.,I could complete the task with documentation or search help.,I am familiar with the only term(s).,I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
2/18/19 11:41,20190218,1,Graduate Student,University of Arizona,Department of Systems and Industrial Engineering,Designing a graphical user interface for nurses in high stress situations.,Every engineer needs programming skills and I think this workshop would be valuable for my future career.,Windows and Mac,I agree,I agree,No,"My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data with an office software, like Excel",I program less than once a year,"I write scripts that are a few lines long to analyze data., I write programs that are a page or two long for my own use., I have experience programming in Matlab",I am familiar only with the name command line or any of its synonyms.,I could complete the task with documentation or search engine help.,I am not familiar with version control.,I could not complete this task.,I am not familiar with either.,I could complete the task with documentation or search engine help.,"Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
2/7/19 11:01,20190218,1,Undergraduate Student,N/A,Mathematics,Data Analysis and modeling for gene networks.,I'm hoping getting helped with coding programs that are specifically for analyzing our gene data.,Mac,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes.","I am analyzing my data by looking at them and thinking about them, I am analyzing my data using tools such as calculator, ruler, drawing utensils, etc, I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python.",I program less than once a year,I have experience programming in Python,I am not familiar with the command line.,I would create this list using basic command line functions.,I am not familiar with version control.,I could not complete this task.,I am familiar with the only term(s).,I could not complete this task.,"Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
2/13/19 18:46,20190218,1,Staff,UA,Geographic Information System,"GIS, mapping, spatial analysis",mapping and spatial regression,Windows,I agree,I agree,Yes,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes.",I use other computational tools to do my analysis,I program several times a year,I write scripts that are a few lines long to analyze data.,I am not familiar with the command line.,I could not create this list.,I am not familiar with version control.,I could not complete this task.,I am not familiar with either.,I could not complete this task.,"Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
2/15/19 12:30,20190218,1,Staff,UA College of Medicine,Curricular Affairs,"I work as the Director of Program Evaluation and Student Assessment at the University of Arizona College of Medicine. I maintain a comprehensive assessment/evaluation plan, perform data analyses, write reports, and work in team environment.","In my role, I work a lot with student data (and different types) and would like to learn more about automation of data analyses and learn more about programming in Python, etc.",Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on my hard drive., My data reside on a remotely accessible server/drive.","I am analyzing my data by looking at them and thinking about them, I am analyzing my data with an office software, like Excel, I use other computational tools to do my analysis",I program several times a year,"I write scripts that are a few lines long to analyze data., I write programs that are a page or two long for my own use.",I am not familiar with the command line.,I could complete the task with documentation or search engine help.,I am not familiar with version control.,I could not complete this task.,I am familiar with the only term(s).,I could complete the task with documentation or search engine help.,"Using a centralized data store (to store, access and/or share your data from anywhere), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
2/4/19 11:25,20190218,1,Graduate Student,UA,Immunobiology,virology;microbiology,learn about data anaylsis,Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes.","I don't do data analysis, yet",I have never programmed,I have never programmed,I am familiar with the command line because I have used it.,I would create this list using a pipeline of command line functions.,I am not familiar with version control.,I could complete the task with documentation or search help.,I am familiar with Python because I have used or am using it.,I could not complete this task.,High Performance Computing using the UA HPC system
2/6/19 16:43,20190218,1,Undergraduate Student,University of Arizona,Biosystems Engineering,"I am currently an undergraduate second year in the BE department, and am planning to do research regarding systems for controlled environment agriculture. I hope to be able to use code in assisting experimentation.",To practice code further from a beginner point of view in assisting with working with data in experimentation.,Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I don't do data analysis, yet",I have never programmed,I have never programmed,I am not familiar with the command line.,I could not create this list.,I am not familiar with version control.,I could not complete this task.,I am not familiar with either.,I could not complete this task.,"Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/18/19 8:36,20190218,1,Graduate Student,University of Arizona,Electrical and Computer Engineering,Data Modeling,In Research,Windows,I agree,I agree,No,My data reside on my hard drive.,I am analyzing my data by looking at them and thinking about them,I program once a week or more,I write scripts that are a few lines long to analyze data.,I am not familiar with the command line.,I could not create this list.,I am familiar only with the term.,I could complete the task with documentation or search help.,I am familiar with the only term(s).,I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes)"
2/15/19 8:56,20190218,1,Graduate Student,University of Arizona,Cellular and Molecular Medicine,We are currently developing and optimizing single cell technologies in order to apply them to the study of complex diseases.,I hope to become more experienced and comfortable in analyzing and manipulating data. To understand how to fully utilize statistical software such as R and Python and know how to readily apply programming techniques to research.,Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on a thumb drive., My data reside on my hard drive., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data by looking at them and thinking about them, I am analyzing my data using tools such as calculator, ruler, drawing utensils, etc, I am analyzing my data with an office software, like Excel",I program less than once a year,I write scripts that are a few lines long to analyze data.,I am not familiar with the command line.,I could complete the task with documentation or search engine help.,I am not familiar with version control.,I could not complete this task.,I am not familiar with either.,I could complete the task with documentation or search engine help.,none
2/18/19 7:22,20190218,1,Graduate (Recently Graduated),N/A,N/A,"Currently unemployed and unaffiliated to any laboratory, but actively seeking employment to industry/research laboratories. I wish to bolster my skillset with the training this workshop offers.","Currently unemployed and unaffiliated to any laboratory, but actively seeking employment to industry/research laboratories. I wish to bolster my skillset with the training this workshop offers.",Windows,I agree,I agree,No,N/A; not affiliated with laboratories at the current time. Only data management used is notebooks and cloud storage.,"I don't do data analysis, yet",I have never programmed,I have never programmed,I am familiar with the command line but have never used it.,I could not create this list.,I am not familiar with version control.,I could not complete this task.,I am not familiar with either.,I could not complete this task.,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/5/19 18:33,20190218,1,Graduate Student,University of Arizona,Nutrition Sciences,I work with immune cells and use various immuno-fluorescence based assays,I can’t say,Windows,I agree,I agree,No,"My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data with an office software, like Excel",I have never programmed,I have never programmed,I am not familiar with the command line.,"I would create this list using ""Find in Files"" and ""copy and paste"".",I am not familiar with version control.,I could not complete this task.,I am not familiar with either.,I could not complete this task.,"High Performance Computing using the UA HPC system, Quality assurance (to ensure my code does what it is supposed to do)"
2/6/19 16:39,20190218,1,Postdoc,University of Arizona,Department of Neuroscience,"Neurodegenerative diseases, Proteomics, Mass spectrometry,",Analyse RNA seq data generated form neuronal cells,Windows,I agree,I agree,No,My data reside on my hard drive.,I use other computational tools to do my analysis,I have never programmed,I have never programmed,I am not familiar with the command line.,"I would create this list using ""Find in Files"" and ""copy and paste"".",I am not familiar with version control.,I could not complete this task.,I am not familiar with either.,Microsoft Excel,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
2/13/19 15:00,20190218,1,Staff,University of Arizona,BIO5 Institute,"I work in the IDRC (Infectious Disease Research Core)/Wertheimer lab at the BIO5 Institute, and currently help with tissue culture and cell lines mostly. We have a lot of data for a few different projects, and are currently working with the data and getting help from outside sources to help better understand some of the data, so I think receiving some more training myself would be very helpful for myself and the IDRC lab.","I am starting to work with some data via REDCap projects to get experience, and I have taken some undergraduate Biostatistics courses, as well as programming in HTML and CSS, but I have not had much experience with data and programming in a research setting outside of my classes.",Mac,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data by looking at them and thinking about them, I am analyzing my data with an office software, like Excel, I use other computational tools to do my analysis",I program less than once a year,I write scripts that are a few lines long to analyze data.,I am not familiar with the command line.,"I would create this list using ""Find in Files"" and ""copy and paste"".",I am familiar only with the term.,I could complete the task with documentation or search help.,I am familiar with the only term(s).,I could complete the task with documentation or search engine help.,"Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
2/6/19 12:46,20190218,1,Graduate Student,University of Arizona,"Linguistics, and I teach stats in SBS","I study linguistics, the scientific study of language. I'm interested in language change and variation, specifically relating to sound change in cases of multilinguals.","I would like to learn more about Python and Java, and how to deal with dictionaries and lists. I also am interested in how to better adapt Python 3 scripts for dealing with large csvs and corpora.",Mac,I agree,I agree,Yes,"My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data by looking at them and thinking about them, I am analyzing my data using tools such as calculator, ruler, drawing utensils, etc, I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python., I use other computational tools to do my analysis",I program several times a year,"I write scripts that are a few lines long to analyze data., I write programs that are a page or two long for my own use., I have experience programming in R",I am familiar with the command line because I have used it.,I could complete the task with documentation or search engine help.,I am not familiar with version control.,I could not complete this task.,"I am familiar with the only term(s)., I am familiar with Python because I have used or am using it.",I could complete the task with documentation or search engine help.,none
1/30/19 9:36,20190218,1,Staff,University of Arizona--U'Ren Lab,Biosystems Engineering,I am currently working in a fungal genomics laboratory studying the ecology and evolution of plant and lichen associated fungi.,I am hoping to improve my computation skills in order to make me a more productive and efficient researcher.,Mac,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data by looking at them and thinking about them, I am analyzing my data with an office software, like Excel",I program less than once a year,I write scripts that are a few lines long to analyze data.,I am familiar with the command line because I have used it.,I could complete the task with documentation or search engine help.,I am familiar only with the term.,I could complete the task with documentation or search help.,I am familiar with the only term(s).,I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
